,Identifies_the_type_of_dwelling,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,Lot_configuration,LandSlope,Neighborhood,Condition1,Condition2,Type_of_dwelling,HouseStyle,OverallQual,OverallCond,YearRemodAdd,RoofStyle,Roof_material,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical_system,1stFlrSF,Low_quality_finished_square_feet,GrLivArea,BedroomAbvGr,KitchenAbvGr,Kitchen_Quality,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,Garage_location,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,Garage_condition,Paved driveway,Pool_quality,Fence_Quality,Miscellaneous_feature,miscellaneous_feature,MoSold,YrSold,SaleType,SaleCondition,SalePrice,PricePerSqFt,AgeAtSale,TotalSqFt,TotalBathrooms,TotalPorchArea,TotalFinishedSqFt,TotalQualityScore,TotalGarageScore,TotalOutdoorArea,DateSold,Sentiment
201,1-STORY 1946 & NEWER ALL STYLES,RL,75,10125,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,6,6,1977,Gable,CompShg,Plywood,Plywood,0,TA,TA,CBlock,TA,TA,No,ALQ,LwQ,276,1196,GasA,TA,Y,SBrkr,1279,0,1279,3,1,TA,6,Typ,2,Fa,Detchd,1980,Unf,2,473,TA,TA,Y,No,MnPrv,No,0,Feb,2008,WD,Normal,171500,69.29292929292929,31,2475,2.0,83,2199,12,946,321,2008-02-01,0.0
202,1-1/2 STORY FINISHED ALL AGES,RL,50,7000,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,6,6,1950,Gable,CompShg,MetalSd,MetalSd,0,TA,Gd,BrkTil,Fa,TA,No,LwQ,Unf,0,617,GasA,Gd,Y,SBrkr,865,0,1310,2,1,TA,6,Min1,0,No,Attchd,1924,Unf,1,398,TA,TA,Y,No,No,No,0,May,2006,COD,Normal,112000,58.12143227815257,82,1927,2.0,126,1927,12,398,0,2006-05-01,0.0
203,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RM,0,4438,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2004,Gable,CompShg,VinylSd,VinylSd,205,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,186,848,GasA,Ex,Y,SBrkr,848,0,848,1,1,Gd,3,Typ,1,Gd,Attchd,2004,RFn,2,420,TA,TA,Y,No,No,No,0,Jan,2008,WD,Normal,149000,87.85377358490567,4,1696,1.0,0,1510,11,840,149,2008-01-01,0.0
204,1-1/2 STORY FINISHED ALL AGES,RM,50,3500,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,1950,Gable,CompShg,AsbShng,AsbShng,0,TA,TA,CBlock,TA,TA,No,LwQ,Unf,408,720,GasA,TA,Y,SBrkr,720,0,1284,2,1,TA,5,Typ,0,No,Detchd,1948,Unf,1,240,TA,TA,Y,No,MnWw,No,0,Apr,2009,WD,Normal,110000,54.89021956087824,62,2004,1.5,35,1596,12,240,35,2009-04-01,0.0
205,1-STORY 1946 & NEWER ALL STYLES,RL,99,11851,Pave,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,Gable,CompShg,HdBoard,HdBoard,0,TA,TA,PConc,Gd,TA,No,Unf,Unf,1424,1424,GasA,Ex,Y,SBrkr,1442,0,1442,3,1,TA,5,Typ,0,No,Attchd,1990,RFn,2,500,TA,TA,Y,No,No,No,0,May,2009,WD,Normal,180500,62.97976273551989,19,2866,2.0,542,1442,12,1000,34,2009-05-01,0.0
206,1-STORY 1946 & NEWER ALL STYLES,RL,40,13673,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,5,1962,Gable,CompShg,HdBoard,HdBoard,0,TA,Gd,CBlock,TA,TA,No,Unf,Unf,1140,1140,GasA,TA,Y,SBrkr,1696,0,1696,3,1,TA,8,Min2,1,TA,Attchd,1962,RFn,1,349,TA,TA,Y,No,No,No,0,Mar,2007,WD,Normal,143900,50.74047954866008,45,2836,1.5,30,1696,10,349,30,2007-03-01,0.0
207,1-STORY 1946 & NEWER ALL STYLES,RL,0,12493,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1960,Gable,CompShg,Wd Sdng,Wd Sdng,0,TA,TA,PConc,TA,TA,No,ALQ,Rec,375,1100,GasA,TA,Y,SBrkr,1100,0,1100,3,1,TA,6,Typ,1,Po,Attchd,1960,RFn,1,312,TA,TA,Y,No,GdWo,No,0,Apr,2008,WD,Normal,141000,64.0909090909091,48,2200,1.0,0,1825,9,312,355,2008-04-01,0.0
208,2-STORY 1946 & NEWER,RL,0,14364,Pave,IR1,Low,AllPub,Inside,Mod,SawyerW,Norm,Norm,1Fam,2Story,7,5,1989,Gable,CompShg,Plywood,Plywood,128,Gd,TA,CBlock,Gd,TA,Gd,GLQ,Unf,92,1157,GasA,Ex,Y,SBrkr,1180,0,2062,3,1,TA,7,Typ,1,Gd,Attchd,1988,Fin,2,454,TA,TA,Y,No,No,No,0,Apr,2007,WD,Normal,277000,86.0515688101895,19,3219,2.5,209,3127,12,908,115,2007-04-01,0.0
209,1-STORY 1946 & NEWER ALL STYLES,RL,75,8250,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1964,Hip,CompShg,HdBoard,HdBoard,260,TA,TA,CBlock,Gd,TA,No,Rec,Unf,305,1092,GasA,Ex,Y,SBrkr,1092,0,1092,3,1,TA,6,Typ,0,No,Attchd,1964,RFn,2,504,TA,Gd,Y,No,MnPrv,No,0,Jul,2008,WD,Normal,145000,66.39194139194139,44,2184,1.0,0,1879,13,1008,0,2008-07-01,0.0
210,1-STORY 1945 & OLDER,RL,67,5604,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1950,Gable,CompShg,Stucco,Stucco,0,TA,TA,CBlock,TA,TA,No,Rec,Unf,396,864,GasA,TA,N,FuseA,864,0,864,2,1,TA,5,Typ,0,No,No,2005,No,0,0,No,No,Y,No,No,No,0,Apr,2008,WD,Normal,98000,56.71296296296296,83,1728,1.0,96,1332,11,0,0,2008-04-01,0.0
211,1-STORY 1946 & NEWER ALL STYLES,RL,83,10420,Pave,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,5,2009,Gable,CompShg,VinylSd,VinylSd,0,TA,TA,PConc,Gd,TA,Mn,GLQ,Unf,1176,1212,GasA,Ex,Y,SBrkr,1212,0,1212,3,1,Gd,6,Typ,0,No,Attchd,2009,RFn,2,460,TA,TA,Y,No,No,No,0,Mar,2010,WD,Normal,186000,76.73267326732673,1,2424,2.0,22,1248,11,920,122,2010-03-01,0.0
212,2-STORY 1946 & NEWER,FV,72,8640,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,Gable,CompShg,VinylSd,VinylSd,0,TA,TA,PConc,Gd,TA,No,GLQ,Unf,78,900,GasA,Ex,Y,SBrkr,932,0,1852,3,1,Gd,7,Typ,1,TA,Attchd,2009,RFn,2,644,TA,TA,Y,No,No,No,0,Jul,2009,New,Partial,252678,91.81613372093024,0,2752,2.5,108,2674,12,1288,276,2009-07-01,0.0
213,1-STORY 1946 & NEWER ALL STYLES,RL,43,13568,Pave,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1995,Gable,CompShg,VinylSd,VinylSd,0,TA,TA,PConc,Gd,TA,No,ALQ,Unf,274,990,GasA,Ex,Y,SBrkr,990,0,990,3,1,TA,5,Typ,0,No,Attchd,1996,Unf,2,576,TA,TA,Y,No,No,No,0,Jul,2006,WD,Normal,156000,78.78787878787878,11,1980,1.0,0,1706,10,1152,224,2006-07-01,0.0
214,2-STORY 1946 & NEWER,RL,0,10900,Pave,IR1,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm,1Fam,2Story,6,7,1977,Gable,CompShg,HdBoard,HdBoard,153,TA,TA,CBlock,Gd,TA,No,GLQ,Unf,311,689,GasA,Ex,Y,SBrkr,689,0,1392,3,1,TA,6,Typ,0,No,Attchd,1977,Fin,1,299,TA,TA,Y,No,MnPrv,Shed,450,Mar,2010,WD,Normal,161750,77.72705430081692,33,2081,1.5,36,1770,13,299,36,2010-03-01,0.0
215,1-STORY 1946 & NEWER ALL STYLES,RL,72,10011,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1996,Gable,CompShg,HdBoard,HdBoard,64,TA,TA,CBlock,TA,TA,No,BLQ,Unf,710,1070,GasA,TA,Y,SBrkr,1236,0,1236,2,1,Gd,6,Min1,1,Fa,Attchd,1957,Unf,1,447,TA,TA,Y,No,MnPrv,No,0,May,2006,WD,Normal,134450,58.30442324371206,49,2306,1.0,0,1596,11,447,0,2006-05-01,0.0
216,1-STORY 1946 & NEWER ALL STYLES,RL,65,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2004,Gable,CompShg,VinylSd,VinylSd,266,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,490,1436,GasA,Ex,Y,SBrkr,1436,0,1436,3,1,Gd,8,Typ,0,No,Attchd,2004,Unf,2,484,TA,TA,Y,No,No,No,0,Apr,2008,WD,Normal,210000,73.11977715877437,4,2872,2.0,98,2382,12,968,237,2008-04-01,0.0
217,2-STORY 1945 & OLDER,RM,57,9906,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,4,4,1950,Gable,CompShg,MetalSd,MetalSd,0,TA,TA,CBlock,TA,TA,No,Unf,Unf,686,686,GasA,Fa,N,SBrkr,810,0,1328,3,1,TA,8,Typ,0,No,Detchd,1940,Unf,1,210,TA,TA,Y,No,No,No,0,Sep,2006,WD,Family,107000,53.128103277060575,81,2014,1.0,232,1328,8,210,172,2006-09-01,0.0
218,1-1/2 STORY FINISHED ALL AGES,RL,0,15660,Pave,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,7,9,2006,Gable,CompShg,VinylSd,VinylSd,312,Gd,Gd,CBlock,TA,TA,No,BLQ,Unf,457,798,GasA,Ex,Y,SBrkr,1137,0,1954,3,1,Gd,8,Typ,2,TA,Attchd,1939,Unf,2,431,TA,TA,Y,No,No,No,0,May,2008,WD,Normal,311500,113.19040697674419,69,2752,1.5,269,2295,16,862,119,2008-05-01,0.0
219,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,43,3010,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,Gable,CompShg,VinylSd,VinylSd,16,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1232,1248,GasA,Ex,Y,SBrkr,1248,0,1248,2,1,Gd,5,Typ,0,No,Attchd,2005,Fin,2,438,TA,TA,Y,No,No,No,0,Mar,2006,New,Partial,167240,67.00320512820512,1,2496,2.0,0,1264,12,876,108,2006-03-01,0.0
220,1-STORY 1946 & NEWER ALL STYLES,RL,73,8990,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,Gable,CompShg,VinylSd,VinylSd,0,Gd,TA,PConc,Gd,TA,Mn,Unf,Unf,1498,1498,GasA,Ex,Y,SBrkr,1498,0,1498,2,1,Gd,5,Typ,0,No,Attchd,2006,RFn,2,675,TA,TA,Y,No,No,No,0,Apr,2006,New,Partial,204900,68.39118825100134,0,2996,2.0,33,1498,12,1350,384,2006-04-01,0.0
221,2-STORY 1946 & NEWER,RL,0,8068,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2002,Gable,CompShg,VinylSd,VinylSd,0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1010,1010,GasA,Ex,Y,SBrkr,1010,0,2267,4,1,Gd,8,Typ,1,TA,BuiltIn,2002,RFn,2,390,TA,TA,Y,No,No,No,0,Dec,2009,ConLI,Normal,200000,61.03143118706134,7,3277,2.5,46,2267,11,780,166,2009-12-01,0.0
222,2-STORY 1946 & NEWER,RL,85,11475,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,2Story,6,6,1975,Gable,CompShg,VinylSd,VinylSd,0,TA,TA,CBlock,Gd,TA,No,ALQ,Unf,163,713,GasA,TA,Y,SBrkr,811,0,1552,3,1,TA,6,Typ,1,TA,Attchd,1975,RFn,2,434,TA,TA,Y,No,MnPrv,No,0,Feb,2006,WD,Normal,179900,79.42604856512142,31,2265,2.5,208,2102,12,868,417,2006-02-01,0.0
223,1-STORY 1946 & NEWER ALL STYLES,RL,70,10500,Pave,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,6,1971,Gable,CompShg,HdBoard,HdBoard,0,TA,TA,CBlock,TA,TA,No,ALQ,LwQ,160,864,GasA,Gd,Y,SBrkr,864,0,864,2,1,TA,4,Typ,0,No,Detchd,1989,Unf,2,576,TA,TA,Y,No,No,No,0,Mar,2009,WD,Abnorml,97000,56.13425925925926,38,1728,1.0,0,1568,10,1152,216,2009-03-01,0.0
224,1-STORY 1946 & NEWER ALL STYLES,RL,103,13472,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2003,Hip,CompShg,VinylSd,VinylSd,922,Ex,TA,PConc,Ex,TA,Gd,GLQ,Unf,2336,2392,GasA,Ex,Y,SBrkr,2392,0,2392,3,1,Ex,8,Typ,1,Ex,Attchd,2003,Fin,3,968,TA,TA,Y,No,No,No,0,Jun,2009,WD,Normal,386250,80.7378762541806,6,4784,2.0,105,2448,15,2904,353,2009-06-01,0.0
225,2-STORY PUD - 1946 & NEWER,RM,21,1680,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,Gable,CompShg,HdBoard,HdBoard,142,TA,TA,CBlock,TA,TA,No,Unf,Unf,630,630,GasA,TA,Y,SBrkr,630,0,1302,3,1,TA,6,Typ,0,No,Detchd,1991,Unf,1,280,TA,TA,Y,No,No,No,0,May,2009,COD,Abnorml,112000,57.971014492753625,38,1932,2.5,0,1302,10,280,0,2009-05-01,0.0
226,2-STORY 1946 & NEWER,RL,82,9950,Pave,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,5,1995,Gable,CompShg,VinylSd,VinylSd,290,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,638,1203,GasA,Ex,Y,SBrkr,1214,0,2520,4,1,Gd,9,Typ,1,TA,Attchd,1995,RFn,3,721,TA,TA,Y,No,No,No,0,Jun,2007,WD,Abnorml,290000,77.89417136717701,12,3723,2.5,114,3085,12,2163,338,2007-06-01,0.0
227,2-STORY PUD - 1946 & NEWER,RM,21,1869,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,6,1970,Gable,CompShg,HdBoard,HdBoard,127,TA,TA,CBlock,TA,TA,No,Rec,Unf,162,483,GasA,TA,Y,SBrkr,483,0,987,2,1,TA,5,Typ,0,No,Detchd,1987,Unf,1,280,TA,TA,Y,No,No,No,0,Sep,2008,WD,Normal,106000,72.10884353741497,38,1470,1.5,0,1308,12,280,0,2008-09-01,0.0
228,1-STORY 1946 & NEWER ALL STYLES,RL,70,8521,Pave,Reg,Lvl,AllPub,FR2,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,5,1967,Gable,CompShg,HdBoard,HdBoard,0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,70,912,GasA,TA,Y,SBrkr,912,0,912,3,1,TA,5,Typ,1,Fa,Detchd,1974,Unf,1,336,TA,TA,Y,No,MnPrv,No,0,May,2010,WD,Normal,125000,68.53070175438596,43,1824,1.0,0,1754,10,336,0,2010-05-01,0.0
229,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,43,3182,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,Gable,CompShg,VinylSd,VinylSd,16,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1357,1373,GasA,Ex,Y,SBrkr,1555,0,1555,2,1,Gd,7,Typ,1,TA,Attchd,2005,Fin,2,430,TA,TA,Y,No,No,No,0,May,2009,WD,Normal,192500,65.74453551912568,4,2928,2.0,20,1571,12,860,163,2009-05-01,0.0
230,1-STORY 1946 & NEWER ALL STYLES,RL,73,8760,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1959,Hip,CompShg,MetalSd,MetalSd,220,TA,TA,CBlock,TA,TA,No,Unf,Unf,1194,1194,GasA,TA,Y,SBrkr,1194,0,1194,3,1,TA,6,Typ,0,No,Attchd,1959,RFn,1,312,TA,TA,Y,No,No,No,0,Apr,2010,WD,Normal,148000,61.97654941373534,51,2388,1.0,120,1194,12,312,0,2010-04-01,0.0
231,2-STORY 1946 & NEWER,RL,174,15138,Pave,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1996,Gable,CompShg,VinylSd,VinylSd,506,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,773,1462,GasA,Ex,Y,SBrkr,1490,0,2794,4,1,Ex,9,Typ,1,TA,Attchd,1995,Fin,3,810,TA,TA,Y,No,No,No,0,Jul,2009,WD,Normal,403000,94.68984962406014,14,4256,2.5,348,3483,13,2430,146,2009-07-01,0.0
232,2-STORY PUD - 1946 & NEWER,RM,21,1680,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1972,Gable,CompShg,HdBoard,HdBoard,297,TA,TA,CBlock,TA,TA,No,Unf,Unf,483,483,GasA,TA,Y,SBrkr,483,0,987,2,1,TA,5,Typ,1,Po,Attchd,1972,Unf,1,288,TA,TA,Y,No,No,No,0,Jun,2006,WD,Normal,94500,64.28571428571429,34,1470,1.5,0,987,11,288,0,2006-06-01,0.0
233,1-STORY 1946 & NEWER ALL STYLES,RL,75,10650,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1976,Gable,CompShg,HdBoard,HdBoard,0,TA,TA,CBlock,TA,Gd,Av,LwQ,ALQ,0,894,GasA,TA,Y,SBrkr,894,0,894,3,1,TA,5,Typ,0,No,Attchd,1976,Unf,1,308,TA,TA,Y,No,MnPrv,No,0,Feb,2010,WD,Normal,128200,71.70022371364654,34,1788,1.0,0,1788,11,308,365,2010-02-01,0.0
234,2-STORY 1946 & NEWER,RL,0,7851,Pave,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2002,Gable,CompShg,VinylSd,VinylSd,0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,235,860,GasA,Ex,Y,SBrkr,860,0,1960,4,1,Gd,8,Typ,2,TA,BuiltIn,2002,Fin,2,440,TA,TA,Y,No,No,No,0,May,2010,WD,Normal,216500,76.77304964539007,8,2820,2.5,48,2585,11,880,336,2010-05-01,0.0
235,2-STORY PUD - 1946 & NEWER,RM,21,1680,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,TwnhsE,2Story,6,3,1971,Gable,CompShg,HdBoard,HdBoard,604,TA,TA,CBlock,TA,TA,No,ALQ,Unf,125,483,GasA,TA,Y,SBrkr,483,0,987,2,1,TA,5,Typ,0,No,Detchd,1971,Unf,1,264,TA,TA,Y,No,No,No,0,Aug,2008,WD,Normal,89500,60.8843537414966,37,1470,1.5,0,1345,9,264,0,2008-08-01,0.0
236,1-STORY 1946 & NEWER ALL STYLES,RL,65,8773,Pave,Reg,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2004,Gable,CompShg,VinylSd,VinylSd,98,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1390,1414,GasA,Ex,Y,SBrkr,1414,0,1414,3,1,Gd,6,Typ,0,No,Attchd,2004,RFn,2,494,TA,TA,Y,No,No,No,0,May,2010,WD,Normal,185500,65.5940594059406,6,2828,2.0,105,1438,12,988,237,2010-05-01,0.0
237,2-STORY 1946 & NEWER,RL,0,9453,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,RRNe,Norm,1Fam,2Story,7,7,2003,Gable,CompShg,HdBoard,HdBoard,0,Gd,TA,PConc,Gd,TA,No,BLQ,Unf,594,996,GasA,Ex,Y,SBrkr,1014,0,1744,3,1,Gd,7,Typ,0,No,Attchd,1993,RFn,2,457,TA,TA,Y,No,No,No,0,Feb,2010,WD,Normal,194500,70.98540145985402,17,2740,2.5,308,2146,14,914,440,2010-02-01,0.0
238,1-STORY 1946 & NEWER ALL STYLES,RL,93,12030,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,Hip,CompShg,VinylSd,VinylSd,254,Ex,TA,PConc,Ex,TA,No,Unf,Unf,1694,1694,GasA,Ex,Y,SBrkr,1694,0,1694,3,1,Gd,7,Typ,0,No,Attchd,2007,Fin,3,818,TA,TA,Y,No,No,No,0,Dec,2007,New,Partial,318000,93.86068476977567,0,3388,2.0,228,1694,13,2454,396,2007-12-01,0.0
239,1-1/2 STORY FINISHED ALL AGES,RL,52,8741,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,6,4,1950,Gable,CompShg,VinylSd,VinylSd,0,TA,TA,CBlock,TA,Fa,No,LwQ,Unf,641,735,GasA,TA,Y,FuseA,798,0,1487,3,1,TA,7,Typ,1,Gd,Detchd,1949,Unf,1,220,TA,TA,Y,No,MnPrv,No,0,Apr,2010,WD,Normal,113000,50.85508550855086,65,2222,1.5,140,1581,10,220,140,2010-04-01,0.0
240,1-STORY 1946 & NEWER ALL STYLES,FV,75,9000,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2008,Gable,CompShg,VinylSd,VinylSd,36,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,488,1566,GasA,Ex,Y,SBrkr,1566,0,1566,3,1,Gd,7,Typ,0,No,Attchd,2008,RFn,2,750,TA,TA,Y,No,No,No,0,Apr,2010,WD,Normal,262500,83.81226053639847,2,3132,2.0,168,2644,13,1500,312,2010-04-01,0.0
241,1-STORY 1945 & OLDER,RM,40,3880,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,9,1997,Gable,CompShg,VinylSd,VinylSd,0,TA,Gd,CBlock,TA,TA,No,ALQ,Unf,357,686,GasA,Gd,Y,SBrkr,866,0,866,2,1,Gd,4,Typ,0,No,No,2005,No,0,0,No,No,Y,No,No,No,0,Aug,2007,WD,Normal,110500,71.19845360824742,62,1552,1.0,42,1195,14,0,100,2007-08-01,0.0
242,1-1/2 STORY FINISHED ALL AGES,RM,63,5000,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,4,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,540,540,GasA,Gd,N,FuseA,889,0,1440,3,1,TA,6,Typ,0,No,Attchd,1940,Unf,1,352,Fa,TA,Y,No,No,No,0,Apr,2006,WD,Normal,79000,39.898989898989896,106,1980,1.0,77,1440,9,352,0,2006-04-01,0.0
243,2-STORY PUD - 1946 & NEWER,RL,75,10762,Pave,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,TwnhsE,2Story,6,6,1980,Gable,CompShg,Plywood,Plywood,0,TA,TA,CBlock,Gd,TA,No,Unf,Unf,626,626,GasA,TA,Y,SBrkr,626,0,1217,3,1,TA,6,Typ,1,TA,Attchd,1980,RFn,1,288,TA,TA,Y,No,No,No,0,Apr,2009,WD,Normal,120000,65.11123168746609,29,1843,1.5,28,1217,12,288,28,2009-04-01,0.0
244,2-STORY 1946 & NEWER,RL,0,8880,Pave,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,2002,Gable,CompShg,VinylSd,VinylSd,0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,253,948,GasA,Ex,Y,SBrkr,1222,0,2110,3,1,Gd,8,Typ,2,Fa,Attchd,1994,RFn,2,463,TA,TA,Y,No,No,No,0,May,2010,WD,Normal,205000,67.0372792674951,16,3058,2.5,130,2805,12,926,130,2010-05-01,0.0
245,1-STORY 1946 & NEWER ALL STYLES,RL,80,10400,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,5,1988,Gable,CompShg,Wd Sdng,Wd Sdng,102,TA,TA,CBlock,Gd,TA,Av,GLQ,Unf,916,1845,GasA,Gd,Y,SBrkr,1872,0,1872,3,1,TA,6,Typ,1,TA,Attchd,1988,Fin,2,604,TA,TA,Y,No,No,No,0,Jun,2006,WD,Normal,241500,64.97175141242938,18,3717,2.0,39,2801,12,1208,236,2006-06-01,0.0
246,2 FAMILY CONVERSION - ALL STYLES AND AGES,RM,69,9142,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,6,8,1950,Gable,CompShg,AsbShng,AsbShng,0,TA,Fa,Stone,Fa,TA,No,Unf,Unf,1020,1020,GasA,Gd,N,FuseP,908,0,1928,4,2,Fa,9,Typ,0,No,Detchd,1910,Unf,1,440,Po,Po,Y,No,No,No,0,Apr,2006,WD,Normal,137000,46.47218453188602,96,2948,2.0,172,1928,14,440,60,2006-04-01,0.0
247,1-STORY 1946 & NEWER ALL STYLES,RL,75,11310,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1954,Hip,CompShg,Wd Sdng,BrkFace,0,TA,TA,CBlock,TA,TA,No,Unf,Unf,1367,1367,GasA,Ex,Y,SBrkr,1375,0,1375,2,1,TA,5,Typ,1,TA,Attchd,1954,Unf,2,451,TA,TA,Y,No,No,No,0,Jun,2006,WD,Normal,140000,51.05762217359592,52,2742,1.0,30,1375,11,902,30,2006-06-01,0.0
248,2-STORY 1946 & NEWER,RL,72,11317,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,Gable,CompShg,VinylSd,VinylSd,101,Gd,TA,PConc,Gd,TA,No,Unf,Unf,840,840,GasA,Ex,Y,SBrkr,840,0,1668,3,1,Gd,8,Typ,0,No,Attchd,2003,RFn,2,500,TA,TA,Y,No,No,No,0,Sep,2007,WD,Normal,180000,71.77033492822966,4,2508,2.5,68,1668,12,1000,212,2007-09-01,0.0
